num_topics,passes,coherence_score
5,10,0.3643804435608511
5,15,0.3618145422478417
5,20,0.35003540338967565
5,25,0.3718181731514128
6,10,0.3787003538621298
6,15,0.3690957885376395
6,20,0.35168426738204617
6,25,0.37659663293188234
7,10,0.3599433158564801
7,15,0.35494996948769625
7,20,0.3696258556639255
7,25,0.39989164480574513
8,10,0.34108807815708175
8,15,0.35280783341715544
8,20,0.375981289755194
8,25,0.385189827967703
9,10,0.35480160390420373
9,15,0.36270992622995535
9,20,0.3802602736350372
9,25,0.3808068912217929
10,10,0.35739484435322866
10,15,0.3779739395008302
10,20,0.38344992366664116
10,25,0.38575281676678014
11,10,0.353566322324519
11,15,0.36465547454960634
11,20,0.3921165307383962
11,25,0.3951837656221457
